data_id,schema_pass,commonsense_pass,hard_pass,all_pass,failure_count,failure_categories,selected_labels,top_labels,text
20250322163920766320,True,True,False,False,1,hotel_name,ticket_count:2|people_count:2|forbidden_restaurant_types:hot_pot|day_count:3,ticket_count:2:0.992|people_count:2:0.988|forbidden_restaurant_types:hot_pot:0.979|day_count:3:0.926|day_count:2:0.237|people_count:4:0.112|restaurant_types:hot_pot:0.108|ticket_count:4:0.102|forbidden_restaurant_types:other:0.084|room_type:1:0.061|forbidden_restaurant_names:yue_bai_wei__premium_sichuan_cuisine_upark_park_branch:0.059|budget_kinds:dining:0.057,"We are 2 people traveling from Shanghai to Nanjing for 3 days, with the following requirements: Do not want to try hot pot restaurants. Prefer to stay at one of the following hotels: Atour Hotel Nanjing South Station North Square or FAST109."
20250321131454214158,True,True,True,True,0,,budget_kinds:attraction|ticket_count:2|people_count:2|day_count:2,budget_kinds:attraction:0.996|ticket_count:2:0.984|people_count:2:0.981|day_count:2:0.967|day_count:4:0.195|attraction_types:park:0.182|day_count:5:0.157|ticket_count:3:0.147|people_count:3:0.120|forbidden_restaurant_names:yue_bai_wei__premium_sichuan_cuisine_upark_park_branch:0.097|budget_kinds:accommodation:0.073|day_count:3:0.068,"We are 2 people, departing from Wuhan, traveling to Chengdu for 2 days, with the following requirements: We want to visit Jiaozi Park, and we only want to visit free attractions."
20250322185047891707,True,True,True,True,0,,budget_kinds:dining,budget_kinds:dining:0.999|room_type:2:0.022|budget_kinds:innercity_transport:0.012|hotel_features:sauna:0.008|restaurant_types:sichuan_cuisine:0.006|people_count:4:0.004|forbidden_restaurant_names:chao_shang_chao_zhengda_branch:0.003|ticket_count:4:0.003|day_count:3:0.003|attraction_types:cultural_landscape:0.003|hotel_distance:0.003|room_type:1:0.003,"We are 2 people traveling from Suzhou to Chongqing for 2 days. We need to meet either of the following:  
1. A dining budget of 100.0  
2. Want to stay at the following hotel: City 118 Chain Hotel (Chongqing Children's Hospital)"
20250322231710607001,True,True,True,True,0,,budget_kinds:innercity_transport|people_count:3|ticket_count:3|day_count:2,budget_kinds:innercity_transport:0.952|people_count:3:0.732|ticket_count:3:0.728|day_count:2:0.567|day_count:3:0.473|day_count:4:0.239|people_count:2:0.105|ticket_count:2:0.094|ticket_count:4:0.076|people_count:4:0.071|ticket_count:1:0.071|people_count:1:0.065,We are 2 people traveling from Chengdu to Shenzhen for 2 days. Requirements: we do not want to use walking or taxi for transportation within the city. The total travel budget is 4200.0.
20250322194001155137,True,True,False,False,2,hotel_name|innercity_transport_budget,ticket_count:1|people_count:1|budget_kinds:innercity_transport|day_count:2,ticket_count:1:1.000|people_count:1:1.000|budget_kinds:innercity_transport:0.982|day_count:2:0.961|day_count:3:0.085|hotel_features:free_parking:0.027|budget_kinds:intercity_transport:0.027|forbidden_intercity_transport:train:0.010|attraction_types:park:0.008|must_visit:zhongshan_park:0.007|room_type:1:0.006|room_type:2:0.005,"One person traveling from Shenzhen to Shanghai for 2 days, with the following requirements: must stay at one of the hotels—Shanghai Lujiazui Babaiban Lan'ou Hotel; budget for local transportation is 30."
20250323000253558023,True,True,True,True,0,,budget_kinds:innercity_transport|people_count:3|ticket_count:3|day_count:2,budget_kinds:innercity_transport:0.988|people_count:3:0.971|ticket_count:3:0.964|day_count:2:0.883|day_count:4:0.347|people_count:5:0.170|day_count:3:0.146|ticket_count:5:0.138|people_count:2:0.118|ticket_count:2:0.097|attraction_types:park:0.057|room_type:1:0.037,We are 3 people traveling from Chengdu to Shenzhen for 2 days. Requirements: do not want to use metro or walk for transportation within the city. Total travel budget is 6300.0.
20250322162745770075,True,True,False,False,1,hotel_name,people_count:4|ticket_count:4|day_count:4|restaurant_types:western_cuisine|hotel_names:the_amber_house_hangzhou|hotel_names:intercity_hangzhou_west_lake_huanglong_hotel,people_count:4:0.999|ticket_count:4:0.998|day_count:4:0.997|restaurant_types:western_cuisine:0.989|hotel_names:the_amber_house_hangzhou:0.986|hotel_names:intercity_hangzhou_west_lake_huanglong_hotel:0.978|hotel_names:hangzhou_qianjiangwan_new_century_grand_hotel:0.132|restaurant_types:cantonese_cuisine:0.079|restaurant_types:hot_pot:0.078|restaurant_types:creative_cuisine:0.069|restaurant_types:jiangsu-zhejiang_cuisine:0.065|restaurant_types:japanese_cuisine:0.061,"We are a group of 4 traveling from Suzhou to Hangzhou for 4 days, with the following requirements: we would like to try one of the restaurant types—Western cuisine; and stay at one of the following hotels—Intercity Hangzhou West Lake Huanglong Hotel or The Amber House Hangzhou."
20250322134244879150,True,True,True,True,0,,forbidden_restaurant_names:mountain_field_creative_cuisine_luohu_branch|forbidden_restaurant_names:paulaner_german_brauhaus_restaurant_seaworld_branch|budget_kinds:dining,forbidden_restaurant_names:mountain_field_creative_cuisine_luohu_branch:0.998|forbidden_restaurant_names:paulaner_german_brauhaus_restaurant_seaworld_branch:0.997|budget_kinds:dining:0.940|ticket_count:4:0.038|room_type:1:0.033|forbidden_restaurant_names:hidden_world_courtyard__banquet_wedding_birthday_monster_drinking_shop:0.023|forbidden_restaurant_names:shenzhen_penghui_raffles_hotel__cloud_view:0.020|forbidden_pois:shenzhen_bay_park:0.020|forbidden_restaurant_names:da_wu_yakiniku_zhuoyue_center_branch:0.019|people_count:4:0.016|day_count:3:0.015|forbidden_restaurant_types:seafood:0.014,"We are 2 people traveling from Chengdu to Shenzhen for 2 days, and we require either of the following:
1. Avoid these restaurants: Mountain Field Creative Cuisine (Luohu Branch) and Paulaner German Brauhaus Restaurant (Seaworld Branch)
2. Dining budget of 1100.0"
20250322220125307788,True,True,True,True,0,,budget_kinds:accommodation|people_count:1|ticket_count:1|day_count:2,budget_kinds:accommodation:0.972|people_count:1:0.965|ticket_count:1:0.957|day_count:2:0.953|budget_kinds:intercity_transport:0.196|budget_kinds:dining:0.193|day_count:3:0.176|people_count:2:0.088|ticket_count:2:0.068|forbidden_intercity_transport:train:0.065|hotel_distance:0.060|ticket_count:3:0.033,"1 person, from Shenzhen to Shanghai for 2 days, with the following requirements: accommodation budget of 800.0, travel to the destination by airplane and return by airplane."
20250322173253258437,True,True,True,True,0,,restaurant_types:beijing_cuisine|budget_kinds:innercity_transport,restaurant_types:beijing_cuisine:0.937|budget_kinds:innercity_transport:0.926|restaurant_types:japanese_cuisine:0.092|day_count:4:0.080|forbidden_restaurant_types:korean_cuisine:0.073|restaurant_types:cafe:0.066|restaurant_types:western_cuisine:0.056|forbidden_restaurant_types:other:0.054|restaurant_types:barbecue:0.052|forbidden_restaurant_types:halal_cuisine:0.050|forbidden_restaurant_names:osmanthus_garden_manjuelong_branch:0.049|restaurant_types:sichuan_cuisine:0.048,"Our group of 4 is traveling from Wuhan to Beijing for 4 days. We need to meet at least one of these conditions:  
1. We want to try these types of restaurants: Beijing cuisine and Halal cuisine.  
2. The budget for transportation within the city is 170."
